0.59998,-1.7735
0.066839,-0.45025
1.1306,0.59998
-1.0894,0.066839
0.9541,1.1306
-0.93741,-1.0894
1.0985,0.9541
-1.2952,-0.93741
0.60369,1.0985
-0.19384,-1.2952
1.2902,0.60369
-1.6727,-0.19384
-0.18496,1.2902
0.60417,-1.6727
0.13827,-0.18496
1.0646,0.60417
-0.87422,0.13827
1.2,1.0646
-1.5849,-0.87422
0.010175,1.2
0.5212,-1.5849
0.3515,0.010175
0.77817,0.5212
-0.070028,0.3515
1.2843,0.77817
-1.6158,-0.070028
-0.041018,1.2843
0.548,-1.6158
0.2877,-0.041018
0.87404,0.548
-0.31856,0.2877
1.399,0.87404
-2.0833,-0.31856
-1.3976,1.399
-0.55221,-2.0833
0.68522,-1.3976
-0.13634,-0.55221
1.2914,0.68522
-1.6594,-0.13634
-0.15016,1.2914
0.59424,-1.6594
0.16795,-0.15016
1.0307,0.59424
-0.76905,0.16795
1.2858,1.0307
-1.8305,-0.76905
-0.62487,1.2858
0.523,-1.8305
0.15778,-0.62487
1.0201,0.523
-0.7426,0.15778
1.3033,1.0201
-1.8808,-0.7426
-0.77001,1.3033
0.41156,-1.8808
0.30066,-0.77001
0.81592,0.41156
-0.1734,0.30066
1.3464,0.81592
-1.8564,-0.1734
-0.68341,1.3464
0.48146,-1.8564
0.21263,-0.68341
0.94697,0.48146
-0.52793,0.21263
1.397,0.94697
-2.1394,-0.52793
-1.5943,1.397
-1.0146,-2.1394
0.23962,-1.5943
0.46607,-1.0146
0.51548,0.23962
0.49843,0.46607
0.54313,0.51548
0.45843,0.49843
0.61923,0.54313
0.30174,0.45843
0.87679,0.61923
-0.32119,0.30174
1.4,0.87679
-2.0879,-0.32119
-1.4131,1.4
-0.58583,-2.0879
0.66692,-1.4131
-0.10815,-0.58583
1.2721,0.66692
-1.5871,-0.10815
0.026339,1.2721
0.50805,-1.5871
0.3796,0.026339
0.73295,0.50805
0.040214,0.3796
1.1929,0.73295
-1.2886,0.040214
0.64429,1.1929
-0.27255,-1.2886
